,products,SALES_PRICE,Discounted_Price
0,4710199010372,30.0,29.964544365235717
1,4710857472535,46.0,37.84334327035724
2,4710043654103,166.0,160.09745193425033
3,4710126092129,38.0,26.04249909346543
4,4710176021445,18.0,10.818594982043471
5,0078895770025,75.0,74.71507147272538
6,4710192225520,105.0,87.02328831624435
7,4712936888817,68.0,35.79090460255244
8,4715398106864,78.0,55.526944944393755
9,4710126091870,53.0,29.409006135875828
10,4711713290201,42.0,39.42373691569913
11,4710314491017,316.0,168.67612663249938
12,4710088410207,55.0,31.35403374980001
13,4710154012144,38.0,24.53012960632539
14,4710126091849,78.0,59.95315039402292
15,0020000102818,138.0,82.55897812007845
16,4710583910004,33.0,20.056250828707565
17,4902520162847,161.0,87.94393015452222
18,4710734001346,16.0,12.272860154083382
19,8801055190294,235.0,221.16575135199952
20,4710323168054,40.0,22.33031477047928
21,4710054139804,129.0,66.56079406788069
22,4712031000060,69.0,49.17612246069088
23,4902181016893,230.0,138.99104671569017
24,4710043004090,330.0,230.61091193354187
25,4710131130311,65.0,36.00635538382244
26,4710088424655,94.0,50.49908857814858
27,4714981010038,48.0,30.227085550041384
28,4710088410443,55.0,41.84439587276808
29,4710868501019,29.0,16.77070038565104
30,4710583110015,29.0,19.99256186712046
32,4710985010272,179.0,156.34830416745638
33,20546601,1129.0,746.1066119994987
34,4710012122121,73.0,47.88114283585264
35,4710088436498,19.0,18.870501739437906
36,4710011405133,28.0,20.03369294460434
37,4710085120628,37.0,18.744651097225713
38,4714125961004,89.0,76.24654287328208
39,4710011401128,56.0,46.33120083421518
40,4719090900058,149.0,75.45157210814372
41,4710018008634,69.0,66.58465565958176
42,4710088412201,38.0,22.23875013672673
43,4710290004171,29.0,23.393144552208035
44,4716349008084,36.0,24.604120954692785
45,4710088443328,130.0,78.2538780438298
46,4710022102892,40.0,23.61324760859548
47,4710364142068,54.0,43.70913056957805
48,20411909,110.0,63.683627663311725
50,4711524000457,21.0,13.880649010797008
51,4710134023276,86.0,55.95411505951819
52,4710011409056,28.0,20.683469109919187
53,4711271000014,16.0,9.313593525603835
54,4710098162806,47.0,37.47017914979373
55,4710088432674,62.0,50.522163803357294
56,4714617943044,26.0,25.137520258038574
57,20549404,79.0,47.40384039629583
58,4711713390031,49.0,36.30890362759814
59,4710357308303,58.0,45.54862148185234
60,4710057870148,110.0,96.5907641071816
61,4712500125010,105.0,57.12191202851331
62,4710018031632,66.0,43.520775474250485
63,4710109770402,33.0,19.32272372322091
64,4710543310066,18.0,15.951017154159157
65,4710011402019,168.0,155.37465509963945
66,4710362020740,35.0,23.390462953000167
67,2250062000090,38.0,33.31659351433332
68,4711080040195,60.0,39.339816694634976
69,4902704244567,196.0,140.264053474433
70,4710998000406,63.0,36.33855705332756
71,4901201906015,40.0,30.55886802541034
72,4719090106016,28.0,27.224909765327382
73,4710585930666,89.0,48.86349531210032
74,4710088490247,153.0,76.51297379930806
75,8801019931536,55.0,35.908669560643474
76,4710008290025,57.0,37.44901072813063
77,4710088410139,39.0,37.96775070940031
78,4710467221196,65.0,51.45285479586531
79,0074603003171,97.0,60.798602103646445
80,4710094021497,59.0,37.23365664958604
81,4710172030083,28.0,14.179770375856707
82,20565909,325.0,228.1869535849862
83,4713080000100,85.0,54.68444992305943
86,4710088443250,85.0,83.55027244216859
87,4710731050101,90.0,64.37549744492233
88,4710047512515,81.0,56.35176311539054
89,4716702000052,338.0,323.0671280753108
90,4710321791698,86.0,46.350522263124184
91,4719090105002,28.0,16.645776750092946
92,4710038850527,249.0,151.60294915524165
93,4710011411417,90.0,54.15169737728133
94,0084501297329,38.0,27.5288147158533
96,4710011406123,55.0,29.104007005613106
97,7038513912056,60.0,42.99095153439935
98,4710265849066,133.0,82.14336531376034
99,4711781730630,115.0,88.99490195791418
100,4710247005299,89.0,86.67350317413246
102,4710088434678,25.0,23.80404396627118
103,4710176040354,249.0,218.16250400559943
104,4710110221511,14.0,13.053108545293638
105,4711634002570,39.0,23.860683180317903
106,4710096000049,18.0,17.78755215970823
107,4710265796216,380.0,197.5922663148085
109,4712147200606,157.0,137.78149349719524
110,0089782012029,40.0,33.281313877058906
111,4710191020003,58.0,45.31549853882738
112,4710176123798,75.0,53.88911915388
113,4712494211409,48.0,38.045159399163076
114,0028400017305,129.0,97.98871577773843
115,4710015102571,75.0,41.45042760691589
116,4710943100410,16.0,13.910227117084457
117,20556372,56.0,47.70049840821024
119,4710126194328,15.0,14.098242992681486
121,4711811105155,49.0,28.551119510586304
123,4711207001023,45.0,44.193644504273124
124,4710088412218,38.0,25.08005837112794
127,4710088410610,26.0,16.35472055834881
128,4710085172696,38.0,33.36750411973814
129,4710126092822,115.0,92.18167761693418
130,4710011432832,28.0,16.430314925307314
131,4712934010074,39.0,28.132503286422573
132,20487546,72.0,44.73792346328332
133,4710626111450,77.0,45.85739788124634
134,4710088411792,56.0,50.20817926097888
135,4719090301046,55.0,51.54799715902887
136,20415723,62.0,41.85633296908307
137,4719433000483,549.0,406.42175651999025
139,20451066,65.0,33.46143560974235
140,4710452110115,42.0,22.052826198899815
141,20564124,325.0,256.0644726731863
142,9310034370095,46.0,34.831801810602855
146,4711681000048,20.0,15.510011339679721
147,4710931600144,99.0,98.79746881462073
148,4710128030037,38.0,27.19865694721181
149,4711587808953,123.0,122.35473918326132
150,4711588251116,75.0,64.60913510763103
151,4714706813043,180.0,141.41964231082076
152,4710960911075,142.0,116.73156077923927
153,4710823998557,82.0,54.774959009617874
155,4710105010182,54.0,52.608450177526386
156,4901005201248,85.0,73.06084732895252
157,4710626110156,72.0,71.0626588950638
158,4710857000059,16.0,9.40375755850853
159,4710189810234,53.0,29.24946830475279
160,4710063111389,42.0,22.278599049502827
162,4710063031144,116.0,107.21691762724959
163,4710583920003,35.0,27.138858036766003
164,0037000329169,47.0,31.41781418219646
165,4710247006593,75.0,52.04497963343974
166,4710176023098,71.0,63.02568296123044
167,4719862470192,85.0,70.85431366042778
168,4710105045313,40.0,35.527040393999684
169,9310022530401,179.0,165.20796784922751
170,4710088432353,106.0,67.81921696131137
172,4710247005206,158.0,130.8960282228419
173,4710046036906,66.0,60.42266240510032
174,4711080010112,40.0,21.35370554710889
175,4711524000495,21.0,16.09087692449946
176,0040000015321,39.0,23.782601114659634
177,4710363454001,49.0,44.47699273173964
178,4710265847666,135.0,128.15022766625205
179,4719090106009,28.0,17.40557729303014
180,4710011408011,64.0,57.0711198927815
181,4710088434692,125.0,63.93072567663183
182,4711634002297,21.0,13.689568600059907
183,4710096000322,18.0,17.955887855469435
184,4710105080123,72.0,61.961299791945386
186,4710247001321,85.0,47.24339885123336
187,4710110910149,64.0,48.33811421160347
189,0300410824105,79.0,46.464582139042996
190,8851111202652,126.0,122.25026380200484
191,4714617946069,26.0,16.36887544739531
192,0037000445111,47.0,34.78633152711242
193,4901201101021,189.0,142.34258343709655
195,4710088411686,15.0,9.317787808384988
196,4710063413803,65.0,56.69133729234978
197,4710010020054,50.0,27.758086647306218
198,4712425010255,109.0,76.9940404714952
199,9415007002994,239.0,178.17680178895822
202,4710022201496,69.0,59.35032705938507
203,4710126031890,92.0,69.00090007191052
204,4710549000039,98.0,55.82894456052553
205,4901411157719,219.0,110.93058390518348
207,4710572001225,26.0,16.728041366550624
208,4710199032985,25.0,18.009869247259935
209,4711606022063,47.0,33.68660137556935
210,4710008290056,540.0,423.0977680549686
211,4710304111147,52.0,35.791319854929725
212,20069162,100.0,78.30500616803286
213,4710088414069,48.0,34.36834160872817
214,4710254011771,105.0,53.44799471987984
215,4710572001218,26.0,22.954267187982257
217,4712814168888,138.0,104.265749053658
219,4710063031878,89.0,46.3636893599258
220,4710015103455,68.0,49.52031040333982
221,4710943100403,48.0,26.52222662578431
222,4710110815208,64.0,47.455838710860434
224,4716349082039,124.0,111.22806168079954
225,4718433614829,26.0,19.158446826801363
226,4710176042563,69.0,55.70725628073729
229,4712500125058,44.0,41.782190197309774
230,0079763251134,82.0,78.66521310882968
231,4712076005013,43.0,30.442681103518506
232,4711524000891,25.0,20.6120948225732
235,4713608210912,43.0,26.255462032335984
236,4712277888866,79.0,75.54359301291387
237,4710098166804,18.0,17.17399466869048
